[05:22:09] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[05:22:11] [ServerMain/INFO]: Loaded 7 recipes
[05:22:11] [ServerMain/INFO]: Loaded 1271 advancements
[05:22:11] [Server thread/INFO]: Starting minecraft server version 1.20.1
[05:22:11] [Server thread/INFO]: Loading properties
[05:22:11] [Server thread/INFO]: Default game type: SURVIVAL
[05:22:11] [Server thread/INFO]: Generating keypair
[05:22:11] [Server thread/INFO]: Starting Minecraft server on *:25565
[05:22:11] [Server thread/INFO]: Using epoll channel type
[05:22:11] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[05:22:11] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[05:22:11] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[05:22:11] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[05:22:11] [Server thread/INFO]: Preparing level "world"
[05:22:17] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[05:22:18] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[05:22:18] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[05:22:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[05:22:19] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[05:22:19] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[05:22:20] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[05:22:20] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[05:22:21] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[05:22:21] [Worker-Main-3/INFO]: Preparing spawn area: 2%
[05:22:22] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[05:22:22] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[05:22:23] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[05:22:23] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[05:22:24] [Worker-Main-1/INFO]: Preparing spawn area: 8%
[05:22:24] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[05:22:25] [Worker-Main-1/INFO]: Preparing spawn area: 11%
[05:22:25] [Worker-Main-3/INFO]: Preparing spawn area: 13%
[05:22:26] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[05:22:26] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[05:22:27] [Worker-Main-1/INFO]: Preparing spawn area: 17%
[05:22:27] [Worker-Main-1/INFO]: Preparing spawn area: 19%
[05:22:28] [Worker-Main-2/INFO]: Preparing spawn area: 21%
[05:22:28] [Worker-Main-3/INFO]: Preparing spawn area: 23%
[05:22:29] [Worker-Main-3/INFO]: Preparing spawn area: 25%
[05:22:29] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[05:22:30] [Worker-Main-3/INFO]: Preparing spawn area: 29%
[05:22:30] [Worker-Main-1/INFO]: Preparing spawn area: 31%
[05:22:31] [Worker-Main-1/INFO]: Preparing spawn area: 33%
[05:22:31] [Worker-Main-3/INFO]: Preparing spawn area: 34%
[05:22:32] [Worker-Main-3/INFO]: Preparing spawn area: 37%
[05:22:32] [Worker-Main-3/INFO]: Preparing spawn area: 40%
[05:22:33] [Worker-Main-1/INFO]: Preparing spawn area: 42%
[05:22:33] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[05:22:34] [Worker-Main-3/INFO]: Preparing spawn area: 45%
[05:22:34] [Worker-Main-1/INFO]: Preparing spawn area: 48%
[05:22:35] [Worker-Main-1/INFO]: Preparing spawn area: 51%
[05:22:35] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[05:22:36] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[05:22:36] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[05:22:37] [Worker-Main-3/INFO]: Preparing spawn area: 61%
[05:22:37] [Worker-Main-1/INFO]: Preparing spawn area: 64%
[05:22:38] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[05:22:38] [Worker-Main-3/INFO]: Preparing spawn area: 69%
[05:22:39] [Worker-Main-3/INFO]: Preparing spawn area: 70%
[05:22:39] [Worker-Main-3/INFO]: Preparing spawn area: 72%
[05:22:40] [Worker-Main-1/INFO]: Preparing spawn area: 75%
[05:22:40] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[05:22:41] [Worker-Main-3/INFO]: Preparing spawn area: 83%
[05:22:41] [Worker-Main-2/INFO]: Preparing spawn area: 84%
[05:22:42] [Worker-Main-1/INFO]: Preparing spawn area: 87%
[05:22:42] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[05:22:43] [Worker-Main-3/INFO]: Preparing spawn area: 94%
[05:22:43] [Worker-Main-1/INFO]: Preparing spawn area: 97%
[05:22:43] [Server thread/INFO]: Time elapsed: 26310 ms
[05:22:43] [Server thread/INFO]: Done (31.902s)! For help, type "help"
[05:26:25] [Server thread/INFO]: N0tailDMC[/[0:0:0:0:0:0:0:1%0]:60616] logged in with entity id 245 at (-0.5, 90.0, 5.5)
[05:26:25] [Server thread/INFO]: N0tailDMC joined the game
[05:26:55] [Server thread/INFO]: Made N0tailDMC a server operator
